player,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
P1,1.000000000,0.000000000,0.000195321,0.000111406,0.000192269,0.000100472,0.002045239,0.002285259,0.000153816,0.004746850,0.004143179,0.000403451,0.005582474,0.003967546,0.009599675,0.005739607,0.002509622,0.000307631,0.002229271,0.002391302
P2,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P3,0.000000000,0.000000000,1.000000000,0.009124716,0.015747779,0.008229125,0.167514838,0.187173604,0.012598223,0.388789613,0.339346084,0.033044520,0.457231217,0.324960934,0.786259108,0.470101147,0.205549960,0.025196447,0.182587891,0.195859019
P4,0.000000000,0.000000000,0.004790476,1.000000000,0.004715625,0.002464187,0.050161812,0.056048570,0.003772500,0.116421876,0.101616160,0.009895082,0.136916507,0.097308570,0.235442915,0.140770369,0.061551315,0.007545000,0.054675393,0.058649392
P5,0.000000000,0.000000000,0.017772494,0.010136990,1.000000000,0.009142044,0.186098515,0.207938176,0.013995839,0.431920961,0.376992290,0.036710397,0.507955305,0.361011287,0.873484728,0.522252993,0.228353159,0.027991678,0.202843735,0.217587129
P6,0.000000000,0.000000000,0.010286406,0.005867111,0.010125681,1.000000000,0.107710543,0.120350954,0.008100545,0.249988245,0.218196497,0.021247331,0.293995584,0.208946974,0.505557575,0.302270834,0.132166786,0.016201090,0.117402381,0.125935598
P7,0.000000000,0.000000000,0.018274346,0.010423234,0.017988809,0.009400193,1.000000000,0.213809848,0.014391047,0.444117366,0.387637642,0.037747010,0.522298736,0.371205374,0.898149827,0.537000157,0.234801300,0.028782095,0.208571552,0.223731264
P8,0.000000000,0.000000000,0.012838189,0.007322585,0.012637593,0.006603873,0.134430657,1.000000000,0.010110074,0.312003665,0.272325232,0.026518228,0.366928052,0.260781149,0.630972934,0.377256171,0.164953843,0.020220148,0.146526782,0.157176863
P9,0.000000000,0.000000000,0.002519645,0.001437143,0.002480275,0.001296087,0.026383587,0.029479843,1.000000000,0.061234364,0.053447008,0.005204512,0.072013917,0.051181347,0.123835810,0.074040931,0.032374119,0.003968440,0.028757593,0.030847795
P10,0.000000000,0.000000000,0.020346656,0.011605228,0.020028740,0.010466175,0.213052970,0.238055880,0.016022992,1.000000000,0.431595742,0.042027520,0.581527403,0.413300056,1.000000000,0.597895964,0.261427763,0.032045984,0.232223562,0.249102385
P11,0.000000000,0.000000000,0.011368094,0.006484079,0.011190467,0.005847666,0.119037059,0.133006697,0.008952374,0.276276256,1.000000000,0.023481636,0.324911274,0.230919209,0.558720487,0.334056724,0.146065047,0.017904748,0.129748062,0.139178606
P12,0.000000000,0.000000000,0.016935317,0.009659485,0.016670702,0.008711406,0.177332306,0.198143205,0.013336562,0.411575234,0.359233989,1.000000000,0.484027964,0.344005775,0.832339048,0.497652157,0.217596535,0.026673124,0.193288739,0.207337642
P13,0.000000000,0.000000000,0.010320362,0.005886478,0.010159106,0.005308720,0.108066096,0.120748233,0.008127285,0.250813457,0.218916764,0.021317469,1.000000000,0.209636709,0.507226423,0.303268631,0.132603069,0.016254570,0.117789927,0.126351312
P14,0.000000000,0.000000000,0.013074600,0.007457428,0.012870309,0.006725481,0.136906149,0.152972821,0.010296248,0.317749098,0.277340001,0.027006551,0.373684897,1.000000000,0.642592069,0.384203205,0.167991407,0.020592495,0.149225019,0.160071217
P15,0.000000000,0.000000000,0.009484594,0.005409777,0.009336397,0.004878807,0.099314644,0.110969751,0.007469118,0.230501982,0.201188360,0.019591129,0.271079006,0.192659826,1.000000000,0.278709210,0.121864555,0.014938236,0.108251016,0.116119080
P16,0.000000000,0.000000000,0.010358161,0.005908038,0.010196315,0.005328164,0.108461896,0.121190482,0.008157052,0.251732080,0.219718564,0.021395545,0.296046400,0.210404519,0.509084178,1.000000000,0.133088738,0.016314103,0.118221341,0.126814083
P17,0.000000000,0.000000000,0.001657661,0.000945489,0.001631760,0.000852689,0.017357623,0.019394633,0.001305408,0.040285766,0.035162505,0.003424021,0.047377577,0.033671939,0.081470927,0.048711139,1.000000000,0.002610816,0.018919469,0.020294602
P18,0.000000000,0.000000000,0.001259822,0.000718571,0.001240138,0.000648044,0.013191793,0.014739921,0.000992110,0.030617182,0.026723504,0.002602256,0.036006958,0.025590674,0.061917905,0.037020465,0.016187059,1.000000000,0.014378796,0.015423898
P19,0.000000000,0.000000000,0.001997055,0.001139071,0.001965851,0.001027271,0.020911471,0.023365544,0.001572681,0.048533985,0.042361774,0.004125065,0.057077793,0.040566025,0.098151510,0.058684392,0.025659530,0.003145362,1.000000000,0.024449775
P20,0.000000000,0.000000000,0.012955258,0.007389358,0.012752832,0.006664092,0.135656500,0.151576519,0.010202266,0.314848755,0.274808503,0.026760041,0.370273985,0.263159153,0.636726632,0.380696283,0.166458019,0.020404531,0.147862927,1.000000000
