player,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
P1,1.000000000,,,,,,,,,,,,,,,,,,,
P2,,1.000000000,,,,,,,,,,,,,,,,,,
P3,,,1.000000000,,,,,,,,,,,,,,,,,
P4,,,,1.000000000,,,,,,,,,,,,,,,,
P5,,,,,1.000000000,,,,,,,,,,,,,,,
P6,,,,,,1.000000000,,,,,,,,,,,,,,
P7,,,,,,,1.000000000,,,,,,,,,,,,,
P8,,,,,,,,1.000000000,,,,,,,,,,,,
P9,,,,,,,,,1.000000000,,,,,,,,,,,
P10,,,,,,,,,,1.000000000,,,,,,,,,,
P11,,,,,,,,,,,1.000000000,,,,,,,,,
P12,,,,,,,,,,,,1.000000000,,,,,,,,
P13,,,,,,,,,,,,,1.000000000,,,,,,,
P14,,,,,,,,,,,,,,1.000000000,,,,,,
P15,,,,,,,,,,,,,,,1.000000000,,,,,
P16,,,,,,,,,,,,,,,,1.000000000,,,,
P17,,,,,,,,,,,,,,,,,1.000000000,,,
P18,,,,,,,,,,,,,,,,,,1.000000000,,
P19,,,,,,,,,,,,,,,,,,,1.000000000,
P20,,,,,,,,,,,,,,,,,,,,1.000000000
