player,criterion,T,I,F
P1,C1,0.777777778,0.000000000,0.222222222
P1,C2,0.883370560,0.000000000,0.116629440
P1,C3,0.000000000,0.000000000,1.000000000
P1,C4,0.500000000,1.000000000,0.500000000
P1,C5,1.000000000,0.000000000,0.000000000
P1,C6,1.000000000,0.000000000,0.000000000
P1,C7,1.000000000,0.000000000,0.000000000
P1,C8,0.500000000,1.000000000,0.500000000
P1,C9,0.500000000,1.000000000,0.500000000
P1,C10,0.296968953,0.000000000,0.703031047
P1,C11,0.536175710,0.000000000,0.463824290
P1,C12,0.650165017,0.000000000,0.349834983
P2,C1,0.533333333,0.390000000,0.466666667
P2,C2,0.766666667,0.390000000,0.233333333
P2,C3,0.000000000,0.390000000,1.000000000
P2,C4,0.500000000,1.000000000,0.500000000
P2,C5,0.000000000,0.390000000,1.000000000
P2,C6,0.000000000,0.390000000,1.000000000
P2,C7,0.000000000,0.390000000,1.000000000
P2,C8,0.500000000,1.000000000,0.500000000
P2,C9,0.500000000,1.000000000,0.500000000
P2,C10,0.285882681,0.390000000,0.714117319
P2,C11,0.580191257,0.390000000,0.419808743
P2,C12,0.201320132,0.390000000,0.798679868
P3,C1,0.985185185,0.000000000,0.014814815
P3,C2,0.801413268,0.000000000,0.198586732
P3,C3,0.073523174,0.000000000,0.926476826
P3,C4,0.333000000,0.000000000,0.667000000
P3,C5,0.609478231,0.000000000,0.390521769
P3,C6,0.684037750,0.000000000,0.315962250
P3,C7,0.063154237,0.000000000,0.936845763
P3,C8,0.500000000,1.000000000,0.500000000
P3,C9,0.500000000,1.000000000,0.500000000
P3,C10,0.532894737,0.000000000,0.467105263
P3,C11,0.790317012,0.000000000,0.209682988
P3,C12,0.630363036,0.500000000,0.369636964
P4,C1,0.896296296,0.695000000,0.103703704
P4,C2,0.968880245,0.695000000,0.031119755
P4,C3,0.090389433,0.695000000,0.909610567
P4,C4,1.000000000,0.695000000,0.000000000
P4,C5,0.634424249,0.695000000,0.365575751
P4,C6,0.572359750,0.695000000,0.427640250
P4,C7,0.043842117,0.695000000,0.956157883
P4,C8,0.500000000,1.000000000,0.500000000
P4,C9,0.500000000,1.000000000,0.500000000
P4,C10,0.387947222,0.695000000,0.612052778
P4,C11,0.764258848,0.695000000,0.235741152
P4,C12,0.000000000,0.847500000,1.000000000
P5,C1,0.988888889,0.000000000,0.011111111
P5,C2,0.957627119,0.000000000,0.042372881
P5,C3,0.087995261,0.000000000,0.912004739
P5,C4,0.133000000,0.000000000,0.867000000
P5,C5,0.500787813,0.000000000,0.499212187
P5,C6,0.912417676,0.000000000,0.087582324
P5,C7,0.053432980,0.000000000,0.946567020
P5,C8,0.500000000,1.000000000,0.500000000
P5,C9,0.500000000,1.000000000,0.500000000
P5,C10,0.481983881,0.000000000,0.518016119
P5,C11,0.813098812,0.000000000,0.186901188
P5,C12,0.537953795,0.500000000,0.462046205
P6,C1,1.000000000,0.625000000,0.000000000
P6,C2,0.911412429,0.625000000,0.088587571
P6,C3,0.073565881,0.625000000,0.926434119
P6,C4,0.000000000,0.625000000,1.000000000
P6,C5,0.637534023,0.625000000,0.362465977
P6,C6,0.716109628,0.625000000,0.283890372
P6,C7,0.042614777,0.625000000,0.957385223
P6,C8,0.500000000,1.000000000,0.500000000
P6,C9,0.500000000,1.000000000,0.500000000
P6,C10,0.405323790,0.625000000,0.594676210
P6,C11,0.781892656,0.625000000,0.218107344
P6,C12,0.046204620,0.812500000,0.953795380
P7,C1,0.862962963,0.000000000,0.137037037
P7,C2,0.675439139,0.000000000,0.324560861
P7,C3,0.152509594,0.000000000,0.847490406
P7,C4,0.300000000,0.000000000,0.700000000
P7,C5,0.834810351,0.000000000,0.165189649
P7,C6,0.821145112,0.000000000,0.178854888
P7,C7,0.238101364,0.000000000,0.761898636
P7,C8,0.500000000,1.000000000,0.500000000
P7,C9,0.500000000,1.000000000,0.500000000
P7,C10,0.498746141,0.000000000,0.501253859
P7,C11,0.627735526,0.000000000,0.372264474
P7,C12,1.000000000,0.500000000,0.000000000
P8,C1,0.911111111,0.000000000,0.088888889
P8,C2,0.541335144,0.000000000,0.458664856
P8,C3,0.106884296,0.000000000,0.893115704
P8,C4,0.200000000,0.000000000,0.800000000
P8,C5,0.684058665,0.000000000,0.315941335
P8,C6,0.785336371,0.000000000,0.214663629
P8,C7,0.223376623,0.000000000,0.776623377
P8,C8,0.500000000,1.000000000,0.500000000
P8,C9,0.500000000,1.000000000,0.500000000
P8,C10,0.369695260,0.000000000,0.630304740
P8,C11,0.791407721,0.000000000,0.208592279
P8,C12,0.491749175,0.500000000,0.508250825
P9,C1,1.000000000,0.960000000,0.000000000
P9,C2,0.666666667,0.960000000,0.333333333
P9,C3,0.049295775,0.960000000,0.950704225
P9,C4,0.500000000,1.000000000,0.500000000
P9,C5,0.722354219,0.960000000,0.277645781
P9,C6,0.800955414,0.960000000,0.199044586
P9,C7,0.036713287,0.960000000,0.963286713
P9,C8,0.500000000,1.000000000,0.500000000
P9,C9,0.500000000,1.000000000,0.500000000
P9,C10,0.668630129,0.960000000,0.331369871
P9,C11,1.000000000,0.960000000,0.000000000
P9,C12,0.000000000,0.980000000,1.000000000
P10,C1,0.333333333,0.055000000,0.666666667
P10,C2,0.423175577,0.055000000,0.576824423
P10,C3,0.160414199,0.055000000,0.839585801
P10,C4,0.263000000,0.055000000,0.737000000
P10,C5,0.247399611,0.055000000,0.752600389
P10,C6,0.837882138,0.055000000,0.162117862
P10,C7,0.451181669,0.055000000,0.548818331
P10,C8,0.500000000,1.000000000,0.500000000
P10,C9,0.500000000,1.000000000,0.500000000
