player,criterion,T,I,F
P1,C1,,,
P1,C2,,,
P1,C3,,,
P1,C4,,,
P1,C5,,,
P1,C6,,,
P1,C7,,,
P1,C8,,,
P1,C9,,,
P1,C10,,,
P1,C11,,,
P1,C12,,,
P2,C1,,,
P2,C2,,,
P2,C3,,,
P2,C4,,,
P2,C5,,,
P2,C6,,,
P2,C7,,,
P2,C8,,,
P2,C9,,,
P2,C10,,,
P2,C11,,,
P2,C12,,,
P3,C1,,,
P3,C2,,,
P3,C3,,,
P3,C4,,,
P3,C5,,,
P3,C6,,,
P3,C7,,,
P3,C8,,,
P3,C9,,,
P3,C10,,,
P3,C11,,,
P3,C12,,,
P4,C1,,,
P4,C2,,,
P4,C3,,,
P4,C4,,,
P4,C5,,,
P4,C6,,,
P4,C7,,,
P4,C8,,,
P4,C9,,,
P4,C10,,,
P4,C11,,,
P4,C12,,,
P5,C1,,,
P5,C2,,,
P5,C3,,,
P5,C4,,,
P5,C5,,,
P5,C6,,,
P5,C7,,,
P5,C8,,,
P5,C9,,,
P5,C10,,,
P5,C11,,,
P5,C12,,,
P6,C1,,,
P6,C2,,,
P6,C3,,,
P6,C4,,,
P6,C5,,,
P6,C6,,,
P6,C7,,,
P6,C8,,,
P6,C9,,,
P6,C10,,,
P6,C11,,,
P6,C12,,,
P7,C1,,,
P7,C2,,,
P7,C3,,,
P7,C4,,,
P7,C5,,,
P7,C6,,,
P7,C7,,,
P7,C8,,,
P7,C9,,,
P7,C10,,,
P7,C11,,,
P7,C12,,,
P8,C1,,,
P8,C2,,,
P8,C3,,,
P8,C4,,,
P8,C5,,,
P8,C6,,,
P8,C7,,,
P8,C8,,,
P8,C9,,,
P8,C10,,,
P8,C11,,,
P8,C12,,,
P9,C1,,,
P9,C2,,,
P9,C3,,,
P9,C4,,,
P9,C5,,,
P9,C6,,,
P9,C7,,,
P9,C8,,,
P9,C9,,,
P9,C10,,,
P9,C11,,,
P9,C12,,,
P10,C1,,,
P10,C2,,,
P10,C3,,,
P10,C4,,,
P10,C5,,,
P10,C6,,,
P10,C7,,,
P10,C8,,,
P10,C9,,,
P10,C10,,,
P10,C11,,,
P10,C12,,,
P11,C1,,,
P11,C2,,,
P11,C3,,,
P11,C4,,,
P11,C5,,,
P11,C6,,,
P11,C7,,,
P11,C8,,,
P11,C9,,,
P11,C10,,,
P11,C11,,,
P11,C12,,,
P12,C1,,,
P12,C2,,,
P12,C3,,,
P12,C4,,,
P12,C5,,,
P12,C6,,,
P12,C7,,,
P12,C8,,,
P12,C9,,,
P12,C10,,,
P12,C11,,,
P12,C12,,,
P13,C1,,,
P13,C2,,,
P13,C3,,,
P13,C4,,,
P13,C5,,,
P13,C6,,,
P13,C7,,,
P13,C8,,,
P13,C9,,,
P13,C10,,,
P13,C11,,,
P13,C12,,,
P14,C1,,,
P14,C2,,,
P14,C3,,,
P14,C4,,,
P14,C5,,,
P14,C6,,,
P14,C7,,,
P14,C8,,,
P14,C9,,,
P14,C10,,,
P14,C11,,,
P14,C12,,,
P15,C1,,,
P15,C2,,,
P15,C3,,,
P15,C4,,,
P15,C5,,,
P15,C6,,,
P15,C7,,,
P15,C8,,,
P15,C9,,,
P15,C10,,,
P15,C11,,,
P15,C12,,,
P16,C1,,,
P16,C2,,,
P16,C3,,,
P16,C4,,,
P16,C5,,,
P16,C6,,,
P16,C7,,,
P16,C8,,,
P16,C9,,,
P16,C10,,,
P16,C11,,,
P16,C12,,,
P17,C1,,,
P17,C2,,,
P17,C3,,,
P17,C4,,,
P17,C5,,,
P17,C6,,,
P17,C7,,,
P17,C8,,,
P17,C9,,,
P17,C10,,,
P17,C11,,,
P17,C12,,,
P18,C1,,,
P18,C2,,,
P18,C3,,,
P18,C4,,,
P18,C5,,,
P18,C6,,,
P18,C7,,,
P18,C8,,,
P18,C9,,,
P18,C10,,,
P18,C11,,,
P18,C12,,,
P19,C1,,,
P19,C2,,,
P19,C3,,,
P19,C4,,,
P19,C5,,,
P19,C6,,,
P19,C7,,,
P19,C8,,,
P19,C9,,,
P19,C10,,,
P19,C11,,,
P19,C12,,,
P20,C1,,,
P20,C2,,,
P20,C3,,,
P20,C4,,,
P20,C5,,,
P20,C6,,,
P20,C7,,,
P20,C8,,,
P20,C9,,,
P20,C10,,,
P20,C11,,,
P20,C12,,,
