player,official_role,nineties,pass_completion_pct,takeon_success_pct,miscontrols_per90,dispossessed_per90,successful_takeons_per90,progressive_carries_per90,shots_on_target_pct,tackles_interceptions_per90,blocks_per90,clearances_per90,gk_save_pct,recoveries_per90,progressive_passes_per90,gk_opa_per90,progressive_receptions_per90,touches_att_pen_per90,gk_psxg_plus_minus_per90,top_speed_kmh,distance_per90_km,completed_passes_per90,key_passes_per90,errors_per90
P1,G,25.800000000,87.900000000,,0.038759690,0.000000000,0.000000000,0.000000000,,0.038759690,0.000000000,0.426356589,69.200000000,1.627906977,0.077519380,1.900000000,0.000000000,0.000000000,0.190000000,,,31.434108527,0.155038760,0.155038760
P2,G,12.200000000,81.300000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.901639344,68.000000000,0.655737705,0.000000000,0.980000000,0.000000000,0.000000000,-0.060000000,,,30.573770492,0.000000000,0.081967213
P3,D,25.200000000,93.500000000,66.700000000,0.317460317,0.039682540,0.079365079,1.706349206,33.300000000,1.468253968,0.912698413,2.817460317,,3.095238095,6.349206349,,0.317460317,1.031746032,,,,85.992063492,0.198412698,0.158730159
P4,D,6.100000000,91.100000000,100.000000000,0.327868852,0.000000000,0.327868852,1.639344262,100.000000000,1.639344262,0.819672131,3.114754098,,3.606557377,3.442622951,,0.327868852,0.655737705,,,,60.163934426,0.327868852,0.163934426
P5,D,22.400000000,93.600000000,100.000000000,0.223214286,0.223214286,0.089285714,2.053571429,13.300000000,1.250000000,0.491071429,2.857142857,,4.598214286,7.053571429,,0.312500000,0.848214286,,,,72.857142857,0.401785714,0.133928571
P6,D,7.500000000,93.900000000,100.000000000,0.533333333,0.400000000,0.133333333,1.600000000,0.000000000,1.600000000,0.933333333,2.933333333,,3.200000000,6.666666667,,0.266666667,0.666666667,,,,67.866666667,0.133333333,0.133333333
P7,D,36.400000000,90.200000000,58.100000000,0.796703297,0.439560440,0.686813187,2.500000000,30.000000000,2.802197802,1.153846154,3.351648352,,3.763736264,7.252747253,,3.324175824,2.692307692,,,,67.417582418,0.714285714,0.219780220
P8,D,21.000000000,91.500000000,42.900000000,0.952380952,0.904761905,0.428571429,1.857142857,20.000000000,2.047619048,1.333333333,2.142857143,,4.523809524,5.095238095,,3.714285714,2.190476190,,,,57.190476190,0.333333333,0.047619048
P9,M,0.800000000,94.100000000,0.000000000,0.000000000,0.000000000,0.000000000,1.250000000,,3.750000000,1.250000000,1.250000000,,8.750000000,5.000000000,,1.250000000,0.000000000,,,,80.000000000,1.250000000,0.000000000
P10,M,18.900000000,75.900000000,38.200000000,1.375661376,1.481481481,0.687830688,2.698412698,26.300000000,1.269841270,0.423280423,0.529100529,,3.386243386,8.306878307,,7.936507937,4.179894180,,,,48.042328042,3.015873016,0.052910053
P11,M,29.700000000,86.800000000,45.900000000,0.841750842,1.144781145,0.942760943,3.400673401,34.400000000,2.659932660,1.212121212,1.077441077,,3.602693603,4.511784512,,6.734006734,4.747474747,,,,52.087542088,1.784511785,0.101010101
P12,M,24.400000000,92.600000000,53.700000000,0.778688525,1.188524590,0.901639344,2.295081967,26.700000000,3.811475410,0.819672131,0.860655738,,4.672131148,6.721311475,,0.655737705,0.696721311,,,,71.393442623,1.352459016,0.040983607
P13,M,18.600000000,86.300000000,46.300000000,1.720430108,0.698924731,1.021505376,3.387096774,44.400000000,2.688172043,0.913978495,2.043010753,,3.763440860,4.247311828,,9.408602151,3.333333333,,,,57.258064516,1.236559140,0.107526882
P14,M,19.700000000,84.100000000,32.600000000,1.827411168,1.573604061,0.710659898,2.538071066,29.600000000,1.116751269,0.659898477,0.355329949,,3.096446701,5.228426396,,6.497461929,4.213197970,,,,40.152284264,2.182741117,0.050761421
P15,F,16.800000000,79.100000000,53.200000000,3.511904762,3.511904762,6.369047619,12.678571429,31.000000000,2.083333333,0.654761905,0.119047619,,3.750000000,4.107142857,,17.023809524,9.583333333,,,,35.892857143,1.904761905,0.000000000
P16,F,8.000000000,87.600000000,44.800000000,1.250000000,2.000000000,1.625000000,8.625000000,33.300000000,1.375000000,1.500000000,0.750000000,,3.250000000,6.500000000,,14.750000000,8.875000000,,,,47.750000000,3.000000000,0.125000000
P17,F,30.400000000,66.900000000,36.100000000,1.480263158,0.888157895,0.427631579,0.789473684,52.900000000,0.526315789,0.394736842,0.756578947,,1.118421053,0.657894737,,4.078947368,6.250000000,,,,8.388157895,0.953947368,0.000000000
P18,F,0.200000000,86.700000000,100.000000000,0.000000000,0.000000000,10.000000000,5.000000000,,0.000000000,0.000000000,0.000000000,,10.000000000,5.000000000,,5.000000000,0.000000000,,,,65.000000000,5.000000000,0.000000000
P19,M,3.900000000,80.000000000,28.600000000,1.282051282,0.256410256,0.512820513,1.794871795,33.300000000,1.794871795,2.051282051,0.256410256,,2.051282051,1.794871795,,8.205128205,5.384615385,,,,25.641025641,0.769230769,0.000000000
P20,M,24.700000000,89.500000000,41.500000000,1.174089069,1.012145749,0.688259109,2.591093117,25.900000000,1.538461538,0.607287449,0.931174089,,4.696356275,5.141700405,,3.886639676,2.712550607,,,,61.740890688,1.781376518,0.000000000
