player,official_role,nineties,pass_completion_pct,takeon_success_pct,miscontrols_per90,dispossessed_per90,successful_takeons_per90,progressive_carries_per90,shots_on_target_pct,tackles_interceptions_per90,blocks_per90,clearances_per90,gk_save_pct,recoveries_per90,progressive_passes_per90,gk_opa_per90,progressive_receptions_per90,touches_att_pen_per90,gk_psxg_plus_minus_per90,top_speed_kmh,distance_per90_km,completed_passes_per90,key_passes_per90,errors_per90
P1,G,,,,,,,,,,,,,,,,,,,,,,,
P2,G,,,,,,,,,,,,,,,,,,,,,,,
P3,D,,,,,,,,,,,,,,,,,,,,,,,
P4,D,,,,,,,,,,,,,,,,,,,,,,,
P5,D,,,,,,,,,,,,,,,,,,,,,,,
P6,D,,,,,,,,,,,,,,,,,,,,,,,
P7,D,,,,,,,,,,,,,,,,,,,,,,,
P8,D,,,,,,,,,,,,,,,,,,,,,,,
P9,M,,,,,,,,,,,,,,,,,,,,,,,
P10,M,,,,,,,,,,,,,,,,,,,,,,,
P11,M,,,,,,,,,,,,,,,,,,,,,,,
P12,M,,,,,,,,,,,,,,,,,,,,,,,
P13,M,,,,,,,,,,,,,,,,,,,,,,,
P14,M,,,,,,,,,,,,,,,,,,,,,,,
P15,F,,,,,,,,,,,,,,,,,,,,,,,
P16,F,,,,,,,,,,,,,,,,,,,,,,,
P17,F,,,,,,,,,,,,,,,,,,,,,,,
P18,F,,,,,,,,,,,,,,,,,,,,,,,
P19,M,,,,,,,,,,,,,,,,,,,,,,,
P20,M,,,,,,,,,,,,,,,,,,,,,,,
