player,sigma,OTI,forward_orbit
P1,P15,0.004799838,P1 -> P15 -> P10
P10,P15,0.615250991,P10 -> P15
P11,P15,0.379954423,P11 -> P15 -> P10
P12,P15,0.425965089,P12 -> P15 -> P10
P13,P10,0.416170430,P13 -> P10 -> P15
P14,P15,0.417625947,P14 -> P15 -> P10
P15,P10,0.615250991,P15 -> P10
P16,P10,0.424814022,P16 -> P10 -> P15
P17,P10,0.150856764,P17 -> P10 -> P15
P18,P15,0.038428071,P18 -> P15 -> P10
P19,P10,0.140378773,P19 -> P10 -> P15
P2,P1,0.000000000,P2 -> P1 -> P15 -> P10
P20,P15,0.376422856,P20 -> P15 -> P10
P3,P15,0.397871851,P3 -> P15 -> P10
P4,P15,0.120426346,P4 -> P15 -> P10
P5,P15,0.441410562,P5 -> P15 -> P10
P6,P15,0.255218191,P6 -> P15 -> P10
P7,P15,0.498732236,P7 -> P15 -> P10
P8,P15,0.370971342,P8 -> P15 -> P10
P9,P15,0.065652464,P9 -> P15 -> P10
