player,name,role,NOS,normalized_NOS,sigma,OTI
P1,Ederson,G,0.328055807,0.776018602,P15,0.004799838
P2,Stefan Ortega,G,-0.849332689,0.383555770,P1,0.000000000
P3,Rúben Dias,D,-0.016394191,0.661201936,P15,0.397871851
P4,John Stones,D,-0.644297485,0.451900838,P15,0.120426346
P5,Manuel Akanji,D,-0.010659243,0.663113586,P15,0.441410562
P6,Nathan Aké,D,-0.572995826,0.475668058,P15,0.255218191
P7,Joško Gvardiol,D,0.137032277,0.712344092,P15,0.498732236
P8,Rico Lewis,D,-0.012412042,0.662529319,P15,0.370971342
P9,Rodri,M,-0.812541779,0.395819407,P15,0.065652464
P10,Kevin De Bruyne,M,-0.349478323,0.550173892,P15,0.615250991
P11,Bernardo Silva,M,-0.089295980,0.636901340,P15,0.379954423
P12,Mateo Kovačić,M,-0.043273640,0.652242120,P15,0.425965089
P13,Matheus Nunes,M,-0.168004107,0.610665298,P10,0.416170430
P14,Phil Foden,M,-0.300229795,0.566590068,P15,0.417625947
P14,Phil Foden,F,-0.368500523,0.543833159,P15,0.417625947
P15,Jérémy Doku,F,-0.194907609,0.601697464,P10,0.615250991
P16,Jack Grealish,F,-0.587362903,0.470879032,P10,0.424814022
P17,Erling Haaland,F,-0.390237611,0.536587463,P10,0.150856764
P18,Oscar Bobb,F,-0.875904019,0.374698660,P15,0.038428071
P19,James McAtee,M,-1.015818426,0.328060525,P10,0.140378773
P20,İlkay Gündogan,M,-0.131959489,0.622680170,P15,0.376422856
