player,name,selection_count,selection_frequency
P1,Ederson,1000,1.0
P2,Stefan Ortega,0,0.0
P3,Rúben Dias,1000,1.0
P4,John Stones,0,0.0
P5,Manuel Akanji,1000,1.0
P6,Nathan Aké,0,0.0
P7,Joško Gvardiol,1000,1.0
P8,Rico Lewis,1000,1.0
P9,Rodri,0,0.0
P10,Kevin De Bruyne,1000,1.0
P11,Bernardo Silva,1000,1.0
P12,Mateo Kovačić,0,0.0
P13,Matheus Nunes,1000,1.0
P14,Phil Foden,1000,1.0
P15,Jérémy Doku,1000,1.0
P16,Jack Grealish,1000,1.0
P17,Erling Haaland,0,0.0
P18,Oscar Bobb,0,0.0
P19,James McAtee,0,0.0
P20,İlkay Gündogan,0,0.0
